50 120
0 49
0 1 10
0 2 5
1 3 15
2 3 10
2 4 5
3 5 10
4 5 10
5 6 7
6 7 8
7 8 10
8 9 6
9 10 10
10 11 5
11 12 7
12 13 12
13 14 9
14 15 10
15 16 10
16 17 8
17 18 6
18 19 9
19 20 12
20 21 8
21 22 6
22 23 10
23 24 7
24 25 9
25 26 10
26 27 5
27 28 12
28 29 8
29 30 10
30 31 7
31 32 9
32 33 11
33 34 10
34 35 8
35 36 7
36 37 9
37 38 10
38 39 5
39 40 11
40 41 9
41 42 6
42 43 10
43 44 8
44 45 7
45 46 9
46 47 8
47 48 6
48 49 15
1 4 4
4 7 3
7 10 5
10 13 6
13 16 5
16 19 4
19 22 8
22 25 6
25 28 7
28 31 9
31 34 5
34 37 4
37 40 6
40 43 8
43 46 5
2 6 4
6 9 6
9 12 7
12 15 5
15 18 6
18 21 5
21 24 7
24 27 5
27 30 8
30 33 6
33 36 5
36 39 7
39 42 4
42 45 6
45 48 5
3 8 6
8 13 7
13 18 5
18 23 6
23 28 7
28 33 5
33 38 6
38 43 7
43 48 8
5 10 4
10 15 5
15 20 6
20 25 7
25 30 8
30 35 5
35 40 6
40 45 5
45 49 9
0 5 5
1 6 6
2 7 4
3 9 5
4 10 7
5 11 8
6 12 6
7 13 5
8 14 7
9 15 5
10 16 6
11 17 8
12 18 7
13 19 5
14 20 6
15 21 7
16 22 8
17 23 5
18 24 7
19 25 6
20 26 5
21 27 8
22 28 6
23 29 5
24 30 8
25 31 7
26 32 6
27 33 5
28 34 7
29 35 8
30 36 6
31 37 5
32 38 8
33 39 6
34 40 7
35 41 8
36 42 5
37 43 7
38 44 6
39 45 8
40 46 5
41 47 7
42 48 6
43 49 10
